USA,EST,6981,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,LAT,7126,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,LIT,7320,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,UKR,7858,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,BLR,7500,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,ARM,9418,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,GRG,9433,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,AZE,9708,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,FIN,6934,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SWD,6647,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,NOR,6260,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,DEN,6535,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,ICE,4526,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,CAP,5715,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,STP,9412,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,GNB,6761,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,EQG,9602,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,GAM,6540,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,MLI,7353,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SEN,6400,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,BEN,8686,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,MAA,6270,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,NIR,8166,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,CDI,7994,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,GUI,7073,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,BFO,7917,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,LBR,7527,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SIE,7172,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,GHA,8540,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,TOG,8559,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,CAO,9657,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,NIG,8744,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,GAB,9696,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,CEN,10209,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,CHA,9338,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,CON,10484,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,DRC,10484,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,UGA,11674,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,KEN,12116,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,TAZ,12691,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,ZAN,12686,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,BUI,11623,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,RWA,11557,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SOM,12582,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,DJI,11654,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,ETH,11513,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,ERI,11041,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,ANG,10578,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,MZM,13403,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,ZAM,12375,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,ZIM,12721,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,MAW,12690,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SAF,12989,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,TRA,12989,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,OFS,13048,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,NAM,11858,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,LES,13123,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,BOT,12730,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SWA,13287,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,MAG,14225,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,COM,13383,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,MAS,15205,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SEY,13912,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,MOR,6187,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,ALG,6824,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,TUN,7377,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,LIB,7874,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SUD,10577,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,IRN,10233,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,TUR,8782,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,IRQ,9988,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,EGY,9355,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SYR,9470,'2017-05-14 12:00:00','2017-05-14 12:00:00'
